,run,score,decision,acrobatie
8840,5,29,"[6, 5, 5, 6, 5, 2]",False
8841,6,12,"[1, 2, 2, 2, 3, 2]",False
8842,5,31,"[6, 6, 5, 6, 5, 3]",False
8843,2,10,"[1, 1, 1, 2, 2, 3]",False
8844,3,9,"[1, 1, 1, 1, 2, 3]",False
8845,4,12,"[1, 2, 2, 1, 1, 5]",False
8846,5,17,"[1, 2, 4, 2, 2, 6]",False
8847,4,29,"[6, 5, 5, 5, 6, 2]",False
8848,5,31,"[6, 5, 4, 6, 6, 4]",False
8849,4,34,"[5, 6, 6, 6, 5, 6]",False
8850,5,13,"[1, 2, 1, 2, 2, 5]",False
8851,3,8,"[1, 1, 2, 2, 1, 1]",False
8852,5,29,"[6, 5, 2, 5, 5, 6]",False
8853,4,34,"[6, 6, 5, 5, 6, 6]",False
8854,4,30,"[6, 5, 5, 4, 6, 4]",False
8855,5,24,"[6, 5, 5, 6, 1, 1]",False
8856,2,34,"[6, 5, 5, 6, 6, 6]",False
8857,4,34,"[6, 5, 5, 6, 6, 6]",False
8858,6,11,"[1, 2, 2, 1, 4, 1]",False
8859,5,31,"[6, 5, 6, 6, 5, 3]",False
8860,1,31,"[6, 6, 6, 6, 5, 2]",False
8861,5,26,"[6, 6, 5, 4, 3, 2]",False
8862,4,29,"[6, 6, 5, 5, 5, 2]",False
8863,5,26,"[6, 5, 5, 3, 3, 4]",False
8864,3,35,"[6, 6, 5, 6, 6, 6]",False
8865,6,13,"[1, 1, 1, 2, 2, 6]",False
8866,6,28,"[5, 5, 5, 5, 4, 4]",False
8867,5,28,"[6, 5, 6, 5, 3, 3]",False
8868,5,30,"[6, 5, 5, 3, 6, 5]",False
8869,4,9,"[1, 2, 1, 1, 1, 3]",False
8870,5,14,"[1, 1, 3, 2, 3, 4]",False
8871,4,29,"[6, 6, 6, 3, 4, 4]",False
8872,3,9,"[1, 1, 1, 1, 2, 3]",False
8873,5,16,"[1, 2, 2, 4, 4, 3]",False
8874,5,16,"[6, 1, 1, 1, 4, 3]",True
8875,5,31,"[6, 5, 4, 6, 6, 4]",False
8876,4,26,"[6, 6, 5, 4, 2, 3]",False
8877,3,18,"[1, 2, 2, 2, 6, 5]",False
8878,5,13,"[1, 2, 1, 2, 5, 2]",False
8879,4,30,"[6, 6, 5, 6, 5, 2]",False
8880,4,28,"[6, 5, 5, 3, 5, 4]",False
8881,5,14,"[1, 2, 4, 2, 2, 3]",False
8882,4,29,"[6, 5, 5, 5, 5, 3]",False
8883,5,33,"[6, 6, 5, 5, 6, 5]",False
8884,5,9,"[1, 1, 2, 2, 1, 2]",False
8885,4,31,"[6, 6, 6, 5, 3, 5]",False
8886,5,10,"[1, 2, 2, 1, 1, 3]",False
8887,4,30,"[6, 6, 6, 6, 5, 1]",False
8888,3,29,"[6, 6, 5, 5, 6, 1]",False
8889,5,14,"[1, 2, 2, 1, 3, 5]",False
8890,4,12,"[1, 1, 2, 3, 3, 2]",False
8891,5,10,"[1, 1, 2, 1, 3, 2]",False
8892,3,29,"[6, 6, 5, 5, 4, 3]",False
8893,5,12,"[1, 2, 1, 2, 3, 3]",False
8894,4,29,"[6, 6, 6, 4, 5, 2]",False
8895,5,29,"[5, 5, 6, 6, 5, 2]",False
8896,3,30,"[6, 5, 5, 6, 6, 2]",False
8897,4,9,"[1, 1, 1, 1, 2, 3]",False
8898,5,13,"[1, 2, 1, 1, 3, 5]",False
8899,4,34,"[6, 6, 6, 5, 5, 6]",False
8900,5,28,"[6, 5, 5, 6, 3, 3]",False
8901,4,11,"[1, 1, 2, 1, 1, 5]",False
8902,5,27,"[6, 6, 5, 3, 6, 1]",False
8903,3,12,"[1, 1, 1, 2, 1, 6]",False
8904,5,12,"[1, 1, 1, 1, 2, 6]",False
8905,6,14,"[1, 2, 2, 4, 3, 2]",False
8906,4,27,"[6, 6, 6, 5, 3, 1]",False
8907,3,13,"[1, 1, 1, 2, 3, 5]",False
8908,3,29,"[6, 6, 5, 5, 4, 3]",False
8909,4,34,"[6, 6, 5, 6, 6, 5]",False
8910,6,17,"[1, 1, 4, 2, 6, 3]",False
8911,3,6,"[1, 1, 1, 1, 1, 1]",False
8912,4,11,"[1, 1, 2, 1, 1, 5]",False
8913,4,29,"[6, 6, 6, 5, 4, 2]",False
8914,5,32,"[6, 6, 5, 6, 6, 3]",False
8915,2,8,"[1, 1, 1, 2, 1, 2]",False
8916,3,7,"[1, 1, 1, 1, 1, 2]",False
8917,6,21,"[5, 5, 4, 4, 1, 2]",False
8918,6,31,"[5, 4, 6, 4, 6, 6]",False
8919,4,7,"[1, 2, 1, 1, 1, 1]",False
8920,6,13,"[1, 1, 2, 5, 2, 2]",False
8921,5,32,"[6, 6, 6, 6, 4, 4]",False
8922,4,31,"[6, 6, 5, 6, 5, 3]",False
8923,5,28,"[6, 6, 5, 5, 5, 1]",False
8924,6,28,"[6, 4, 5, 6, 3, 4]",False
8925,4,11,"[1, 1, 1, 2, 1, 5]",False
8926,3,34,"[6, 6, 6, 6, 6, 4]",False
8927,5,31,"[5, 6, 6, 6, 6, 2]",False
8928,6,17,"[2, 2, 3, 2, 2, 6]",False
8929,5,26,"[6, 6, 6, 2, 4, 2]",False
8930,6,30,"[6, 6, 4, 5, 5, 4]",False
8931,3,7,"[1, 1, 1, 2, 1, 1]",False
8932,6,14,"[1, 2, 1, 2, 3, 5]",False
8933,4,14,"[1, 1, 2, 2, 2, 6]",False
8934,4,33,"[6, 5, 5, 6, 5, 6]",False
8935,5,13,"[1, 2, 1, 3, 4, 2]",False
8936,5,11,"[1, 2, 2, 3, 2, 1]",False
8937,5,14,"[1, 2, 1, 1, 5, 4]",False
8938,3,31,"[6, 5, 6, 6, 6, 2]",False
8939,6,28,"[6, 6, 4, 6, 4, 2]",False
8940,5,14,"[1, 1, 2, 2, 3, 5]",False
8941,4,30,"[6, 6, 6, 3, 4, 5]",False
8942,5,31,"[6, 6, 6, 6, 6, 1]",False
8943,5,11,"[1, 2, 2, 2, 3, 1]",False
8944,4,12,"[1, 1, 1, 1, 2, 6]",False
8945,4,33,"[6, 6, 6, 6, 6, 3]",False
8946,3,29,"[6, 5, 5, 5, 2, 6]",False
