,run,score,decision,acrobatie
8128,5,32,"[6, 5, 6, 6, 5, 4]",False
8129,4,11,"[1, 1, 1, 1, 2, 5]",False
8130,4,12,"[1, 1, 1, 1, 2, 6]",False
8131,5,25,"[6, 6, 6, 2, 4, 1]",False
8132,2,7,"[1, 1, 1, 1, 1, 2]",False
8133,6,29,"[5, 5, 6, 4, 3, 6]",False
8134,4,10,"[1, 1, 1, 2, 3, 2]",False
8135,4,10,"[1, 1, 1, 1, 3, 3]",False
8136,5,29,"[6, 6, 5, 6, 3, 3]",False
8137,5,34,"[6, 6, 6, 4, 6, 6]",False
8138,4,28,"[6, 6, 6, 6, 2, 2]",False
8139,3,9,"[1, 1, 1, 4, 1, 1]",False
8140,6,24,"[5, 6, 5, 1, 4, 3]",False
8141,5,10,"[1, 1, 1, 1, 3, 3]",False
8142,4,33,"[6, 6, 6, 6, 3, 6]",False
8143,5,13,"[1, 1, 4, 1, 3, 3]",False
8144,5,32,"[6, 5, 6, 4, 6, 5]",False
8145,5,13,"[1, 1, 1, 2, 4, 4]",False
8146,5,12,"[1, 1, 1, 4, 2, 3]",False
8147,6,29,"[5, 4, 6, 5, 5, 4]",False
8148,6,15,"[1, 2, 3, 1, 3, 5]",False
8149,6,31,"[6, 6, 6, 6, 4, 3]",False
8150,5,28,"[6, 6, 6, 3, 6, 1]",False
8151,5,10,"[1, 1, 3, 1, 1, 3]",False
8152,6,30,"[6, 6, 5, 4, 6, 3]",False
8153,5,32,"[6, 4, 5, 6, 6, 5]",False
8154,4,13,"[1, 1, 1, 5, 2, 3]",False
8155,5,9,"[1, 2, 2, 1, 1, 2]",False
8156,4,10,"[1, 1, 2, 3, 1, 2]",False
8157,6,12,"[1, 2, 2, 4, 2, 1]",False
8158,4,9,"[1, 1, 1, 1, 2, 3]",False
8159,5,29,"[6, 6, 6, 3, 5, 3]",False
8160,6,28,"[6, 6, 5, 6, 3, 2]",False
8161,6,28,"[6, 6, 4, 5, 3, 4]",False
8162,5,35,"[6, 6, 6, 6, 6, 5]",False
8163,5,16,"[1, 1, 1, 4, 3, 6]",False
8164,5,10,"[1, 1, 1, 2, 1, 4]",False
8165,4,10,"[1, 1, 1, 1, 1, 5]",False
8166,3,36,"[6, 6, 6, 6, 6, 6]",False
8167,6,16,"[1, 3, 3, 2, 1, 6]",False
8168,5,11,"[1, 1, 1, 1, 2, 5]",False
8169,5,12,"[1, 1, 1, 2, 2, 5]",False
8170,5,9,"[1, 2, 2, 1, 1, 2]",False
8171,6,29,"[6, 6, 4, 5, 6, 2]",False
8172,6,15,"[1, 1, 2, 3, 4, 4]",False
8173,5,31,"[6, 6, 6, 5, 4, 4]",False
